Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Sabueso Español,https://cdn.royalcanin-weshare-online.io/r2ngsmoBG95Xk-RBffYG/v1/bd308bl-hub-spanish-hound-adult-standing?w=320&fm=jpg&auto=compress,"El Sabueso Español es un perro cariñoso y tranquilo que demuestra una bravura poco habitual al seguir la pista a presas grandes. Su especialidad es la caza menor, pero no se amedrenta ante animales de mayor tamaño, como jabalíes, ciervos, corzos, zorros, lobos u osos. Esta raza de tamaño mediano con largas orejas, tiene una estructura ósea compacta y robustas extremidades. Su expresión es tierna, triste y noble. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, España,Mediano,10–13 años,Cariñoso,Tranquilo,Seguro,Tranquilo,,,,,,,,Requiere cuidados mínimos,Necesita mucho ejercicio,Un gran perro guardián
Sabueso Estirio De Pelo Duro,https://cdn.royalcanin-weshare-online.io/bPrIsmoBIYfdNSoCKRgo/v5/bd311bl-hub-coarse-haired-styrian-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los Sabuesos estirios de pelo duro son perros de tamaño mediano, de construcción sólida y con una expresión seria, aunque no agresiva. Por encima de todo, son cazadores entusiastas y rastreadores firmes y determinados que ladran constantemente. Gracias a su manto grueso, los estirios puedan trabajar sean cuales sean las condiciones meteorológicas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Austria,Mediano,10–12 años,Cariñoso,Dócil,Independiente,Sociable,,,,,Un gran perro para una familia,,,Requiere cuidados mínimos,,
Sabueso Finlandés,https://cdn.royalcanin-weshare-online.io/wCJ8wWoBaxEApS7LJRuh/v1/bd190bl-hub-finnish-hound-adult-sitting?w=320&fm=jpg&auto=compress,"Los sabuesos finlandeses, tranquilos, enérgicos, afables y nada agresivos, son perros de tamaño mediano con un pelaje tricolor. Son fuertes, pero no demasiado corpulentos. Al sabueso finlandés se le reconoció tras la creación del National Kennel Club en 1889. El primer estándar se publicó en 1932 y varios clubes de todo el país trabajaron para desarrollar la raza. Los cruces que se realizaron a principios del siglo pasado dieron lugar a la raza actual.   Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Finlandia,Mediano,12–15 años,Tranquilo,Afable,Independiente,,,,,,Paciente con niños y otros animales,,,,,
Sabueso Griego,https://cdn.royalcanin-weshare-online.io/evrOsmoBIYfdNSoC7xj0/v1/bd216bl-hub-hellenic-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los sabuesos griegos son perros muy fuertes que cazan solos o en manada. Pueden trabajar prácticamente en cualquier terreno, desde llanuras hasta montañas, incluso en los lugares más impracticables, como peñascos rocosos. Como sabuesos, tienen el sentido del olfato muy desarrollado y un ladrido resonante y armonioso. Los entendidos elogian su resistencia y su carácter equilibrado. Son perros de tamaño mediano con un pelaje corto de color negro y fuego, que tienen una larga historia en su país de origen. Es probable que desciendan de perros locales que se mezclaron con sabuesos importados del resto de Europa. La caza sigue siendo el uso más importante que se les da en Grecia a los sabuesos griegos, que no muestran ningún miedo ante un jabalí de más de 90 kilos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Grecia,Mediano,10–12 años,Cariñoso,Seguro,Alerta,Independiente,Dócil,Inteligente,Requiere espacio exterior,,,,,Requiere cuidados mínimos,,Un gran perro guardián
Sabueso Italiano De Pelo Corto,https://cdn.dogsplanet.com/wp-content/uploads/2019/10/chien-courant-italien-à-poil-ras.jpg.webp,"El sabueso italiano de pelo corto está bien adaptado a los tipos de terreno más diversos. Son animales muy resistentes que pueden correr a gran velocidad y trabajan con entusiasmo, tanto solos como en manada. El audaz sabueso italiano de pelo corto tiene una expresión dócil y un ladrido muy agradable. Desciende claramente de los sabuesos primitivos del antiguo Egipto, que se expandieron por toda la costa mediterránea, incluida Italia, llevados por comerciantes fenicios. Existen muchas representaciones de perros que se parecen mucho al sabueso italiano de pelo corto cerca de varios faraones. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Italia,Mediano,10–14 años,Fuerte,Entusiasta,Dócil,Cariñoso,,,Requiere espacio exterior,,,,,Necesita cuidados moderados,,Un gran perro guardián
Sabueso Italiano De Pelo Duro,https://cdn.royalcanin-weshare-online.io/g_rRsmoBIYfdNSoC4hh-/v1/bd227bl-hub-italian-coarse-haired-hound-adult-standing?w=320&fm=jpg&auto=compress,"En acción, el sabueso italiano de pelo duro usa su cola como timón, subiéndola hasta el nivel del lomo y moviéndola de izquierda a derecha, rozando los flancos a incluso girándola a veces. La cola se considera larga, aunque la punta está muy cerca de la punta del corvejón. En comparación con sus primos de pelo corto, son más tímidos, menos exuberantes, calmados, tranquilos y sensatos. Tienen una expresión afable, dócil y orgullosa, con un velo de reflexión melancólica. Su voz es fuerte y muy armoniosa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Italia,Mediano,12–15 años,Fuerte,Tímido,Tranquilo,Equilibrado,Afable,Dócil,Requiere espacio exterior,,,Necesita poco entrenamiento,,Requiere cuidados mínimos,,
Sabueso Noruego,https://cdn.royalcanin-weshare-online.io/rGnbsmoBG95Xk-RBDfbI/v1/bd253bl-hub-norwegian-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los Sabuesos Noruegos están especializados en la caza de liebres. Deben su nombre alternativo, Dunker, a Wilhelm Dunker, que fue quien estableció las características de la raza en el siglo XIX. Rápidos y de olfato fino, es muy fácil convivir con estos perros, que se muestran muy cercanos a su propietario. Desafortunadamente, son muy raros fuera de Noruega. De tamaño mediano y constitución potente, los Sabuesos Noruegos muestran gran resistencia. Tienen un pelaje arlequín muy distintivo, característica que tienen en común con otras razas raras, como por ejemplo, los Pastores de Beauce. Son perros de trabajo de gran energía y vitalidad, capaces de manejarse en diversos tipos de terreno. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Noruega,Mediano,11–14 años,Afable,Tranquilo,Fuerte,Sociable,Equilibrado,,,Necesita un dueño con experiencia,,La educación deberá comenzar pronto,,Necesita cuidados moderados,,
Sabueso Serbio,https://cdn.royalcanin-weshare-online.io/u2nnsmoBG95Xk-RBqvb4/v1/bd293bl-hub-serbian-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los Sabuesos Serbios son perros afables, alegres y particularmente persistentes. Se han hecho famosos como perros de caza por su capacidad de obediencia. El carácter tranquilo y sociable del Sabueso Serbio, así como su paciencia con los niños y otros animales, ha hecho que estos perros se hayan adaptado fácilmente a vivir en hogares familiares. Su instinto de caza les hace ideales para propietarios activos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Serbia,Mediano,11–12 años,Alerta,Equilibrado,Sociable,,,,,,,La educación deberá comenzar pronto,Le encanta cazar,,Necesita mucho ejercicio,
Sabueso Suizo,https://cdn.royalcanin-weshare-online.io/avrFsmoBIYfdNSoC_hh6/v1/bd315bl-hub-swiss-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los Sabuesos Suizos son cazadores alegres y entusiastas que muestran un carácter simpático, dócil y de gran lealtad a sus propietarios. Son perros de tamaño mediano con buena constitución, y ponen de manifiesto su vigor y resistencia. El hocico largo y la cabeza con largas orejas le confieren un aire de nobleza. Estos pequeños perros de caza cazan liebres, corzos, zorros y, a veces, jabalíes. Trabajan de forma independiente, ladrando y exhibiendo una gran habilidad incluso en terrenos montañosos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Suiza,Mediano,12–14 años,Alegre,Cariñoso,Afable,Dócil,Leal,Tranquilo,Requiere espacio exterior,,,,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Sabueso Tricolor Serbio,https://cdn.royalcanin-weshare-online.io/mfrnsmoBIYfdNSoCNBjw/v1/bd294bl-hub-serbian-tricolour-hound-adult-standing?w=320&fm=jpg&auto=compress," Los Sabuesos Tricolor Serbios son perros bien proporcionados. De tamaño mediano y constitución robusta, son valorados por su carácter, vivacidad y energía. Al igual que sus primos balcánicos, son fieles, afables, seguros de sí mismos y notablemente obstinados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Serbia,Mediano,11–12 años,Alerta,Leal,Equilibrado,Sociable,Fuerte,Alegre,Requiere espacio exterior,,,,Le encanta cazar,Requiere cuidados mínimos,,
Saluki,https://cdn.royalcanin-weshare-online.io/PPoux2oBIYfdNSoCZhmB/v3/bd100bl-hub-saluki-adult-standing?w=320&fm=jpg&auto=compress,"Hay muchas variedades de saluki. Esto se debe al lugar que ocupa esta raza en la tradición árabe y la inmensidad de la región de Oriente Medio, donde cada tribu criaba su propio tipo.  Se considera que los salukis tienen un comportamiento similar a los gatos. Son tímidos con los extraños, solemnes, inteligentes y relativamente independientes. A pesar de ello, los salukis son perros increíblemente leales que se adaptan fácilmente a cualquier entorno doméstico. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Oriente Medio,Mediano,12–14 años,Tímido,Inteligente,Independiente,Seguro,,,Requiere espacio exterior,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Samoyedo,https://cdn.royalcanin-weshare-online.io/JyIux2oBaxEApS7Lvhzz/v3/bd101bl-hub-samoyed-adult-standing?w=320&fm=jpg&auto=compress,"Estos spitz árticos, blancos y de tamaño mediano rebosan potencia, resistencia, encanto, agilidad y seguridad en sí mismos. Los samoyedos nunca se muestran tímidos o especialmente reservados con desconocidos, por lo que no resultan muy adecuados como perros guardianes.  Los samoyedos son perros inteligentes y un tanto traviesos que requieren un propietario con algo de experiencia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Rusia,Mediano,12–15 años,Equilibrado,Alerta,Afable,Alegre,Seguro,Sociable,Necesita mucho espacio,,,Disfruta del entrenamiento,,Requiere cuidados mínimos,,
Schapendoes Neerlandés,https://cdn.royalcanin-weshare-online.io/vWnpsmoBG95Xk-RBq_bQ/v1/bd289bl-hub-dutch-schapendoes-adult-standing?w=320&fm=jpg&auto=compress,"El schapendoes neerlandés es un perro que se usaba y todavía se usa para el pastoreo de rebaños de ovejas. Puesto que las zonas de pastoreo de las ovejas se encuentran principalmente en áreas tranquilas en el campo, es necesario para el schapendoes neerlandés contar con una gran resistencia, movilidad y velocidad. P.M.C. Toepoel fundó el moderno schapendoes neerlandés, generando interés en la raza virtualmente extinta durante la Segunda Guerra Mundial antes de hacer decididos esfuerzos para regenerarla durante los años siguientes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Países Bajos,Mediano,12–15 años,Cariñoso,Seguro,Alerta,Seguro,Afable,Inteligente,,Necesita un propietario con algo de experiencia,Paciente con niños y otros animales,,,Requiere cuidados mínimos,,
Schnauzer,https://cdn.royalcanin-weshare-online.io/MCIxx2oBaxEApS7L8RwQ/v1/bd109bl-hub-schnauzer-adult-lying-down?w=320&fm=jpg&auto=compress,"Las versiones miniatura y gigante se derivan de la variedad estándar de Schnauzer. El hermano mayor, ya sea negro, o de color sal y pimienta, tiene un carácter bueno y dócil.  Los Schnauzers son perros alegres y leales, y muy cariñosos con los niños. Sus sentidos están muy desarrollados y siempre están en alerta, aunque no ladran mucho. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Alemania,Mediano,13–16 años,Alegre,Cariñoso,Juguetón,Leal,Alerta,Tranquilo,,,Paciente con niños y otros animales,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Setter Inglés,https://cdn.royalcanin-weshare-online.io/KCLJHWsBaxEApS7L7h0a/v1/bd59bl-hub-english-setter-adult-standing?w=320&fm=jpg&auto=compress,"Los Setter Ingleses son perros elegantes de tamaño mediano, características que les han hecho ganar admiradores en todo el mundo. Estos perros de familia son amables, cariñosos y sociables.  Cazadores activos altamente cualificados, son perros excepcionalmente afables y de carácter muy dócil. Estarán encantados de participar en casi cualquier actividad física, desde largas caminatas hasta pruebas de resistencia y agilidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,10–12 años,Alegre,Afable,Cariñoso,,,,Requiere espacio exterior,,,,,Requiere cuidados mínimos,,Un gran perro guardián
Setter Irlandés,https://cdn.royalcanin-weshare-online.io/FCIlx2oBaxEApS7LwBz5/v1/bd75bl-hub-irish-red-setter-adult-standing?w=320&fm=jpg&auto=compress,"Los Setters Irlandeses son perros rápidos y atléticos que han ido ganando popularidad gracias a su naturaleza alegre, inteligente, enérgica, cariñosa y leal. Estos animales, que inicialmente se criaron como perros de caza en su país natal, ahora son perros familiares populares en todo el mundo y excelentes compañeros tanto para adultos como para niños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Irlanda,Mediano,12–15 años,Entusiasta,Inteligente,Alegre,Cariñoso,Leal,Fuerte,Requiere espacio exterior,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Setter Irlandés Rojo Y Blanco,https://cdn.royalcanin-weshare-online.io/fvrQsmoBIYfdNSoCVxjf/v1/bd221bl-hub-irish-red-and-white-setter-adult-standing?w=320&fm=jpg&auto=compress,"Aunque puede ser un perro de compañía cariñoso, el setter irlandés rojo y blanco se cría esencialmente como perro de caza. Aunque se le reconoce por su belleza, se les conoce principalmente en un entorno de trabajo. Esta raza aristocrática es alegre y despierta, de naturaleza amable y afable que facilita su educación, aunque fundamentalmente es un perro obstinado muy vigoroso. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Irlanda,Mediano,11–15 años,Cariñoso,Alerta,Afable,Seguro,Entusiasta,Alegre,,Necesita un propietario con algo de experiencia,,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Shar Pei,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0029_shar_pei_0.webp?itok=DtwEbTZX,"Con arrugas en la cabeza y por todo el cuerpo, orejas pequeñas y un hocico que recuerda al de un hipopótamo, el Shar Pei es un perro curioso.  A pesar de ser muy leal con su propietario, puede ser bastante reservado con los desconocidos y su instinto lo lleva a proteger su hogar y su familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, China,Mediano,9–11 años,Alegre,Tranquilo,Independiente,Leal,Cariñoso,,,,Un gran perro para una familia,,,Necesita cuidados moderados,Necesita ejercicio moderado,
Shikoku,https://cdn.royalcanin-weshare-online.io/Qfowx2oBIYfdNSoCBRnR/v1/bd104bl-hub-shikoku-adult-standing?w=320&fm=jpg&auto=compress,"El Shikoku es famoso por su resistencia, sentidos muy desarrollados y su energía. Es un cazador apasionado, pero dócil con su dueño. Es lo suficientemente tenaz y ágil como para perseguir grandes presas. Su capa interior de pelo densa y suave y su capa externa corta, áspera y lisa están diseñadas para protegerlo del clima de las montañas de Japón. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Japón,Mediano,10–12 años,Seguro,Alerta,Seguro,Inteligente,Leal,Sociable,,,Un gran perro para una familia,,,Requiere muchos cuidados,,Un gran perro guardián
Sloughi,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0024_sloughi.webp?itok=KRaalh3T,"Este perro norteafricano tiene instinto cazador y una gran resistencia física. El Sloughi existe en el Magreb desde hace siglos y, hoy en día, la mayoría de ejemplares están en Marruecos, país titular del estándar. Este sabueso de pelaje suave es elegante y está dotado para correr, no solo por su actitud, sino también por su magra musculatura y sus finas líneas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Marruecos,Mediano,12–16 años,Cariñoso,Seguro,Dócil,Independiente,Inteligente,Leal,Requiere espacio exterior,,,Requiere mucho entrenamiento,,Requiere muchos cuidados,,
Spaniel Azul De Picardía,https://cdn.royalcanin-weshare-online.io/QCI9x2oBaxEApS7LNByP/v1/bd148bl-hub-blue-picardy-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Este spaniel francés, pequeño pero hermoso, es famoso por su resistencia, que le permite soportar climas extremos, además de su nariz fina, posición firme y cumplimiento innato. El spaniel azul de Picardía tiene un carácter amable, resultando fácil de educar con relativa rapidez Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–13 años,Cariñoso,Afable,Dócil,Inteligente,Leal,Obediente,Requiere espacio exterior,,,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Spaniel Bretón,https://upload.wikimedia.org/wikipedia/commons/f/fe/American_Brittany_standing.jpg,"El spaniel bretón es de constitución fuerte aunque armonioso y elegante Es un perro despierto, alegre e inteligente.  El spaniel bretón tiene todas las cualidades de la familia de los pointers: seguimiento notable, marcha, nariz, alcance, espontaneidad, duración de la señalización y el cobro, así como una aptitud natural para el entrenamiento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–13 años,Adaptable,Sociable,Inteligente,Cariñoso,Equilibrado,Alegre,Requiere espacio exterior,,,Requiere mucho entrenamiento,,,Necesita mucho ejercicio,
Spaniel De Pont-Audemer,https://cdn.royalcanin-weshare-online.io/xmnusmoBG95Xk-RBY_bq/v1/bd273bl-hub-pont-audemer-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Esta raza tiene un aspecto distintivo, gracias a su característico pelo rizado. Lamentablemente, esto no ha impedido que la raza sea muy poco común, al igual que uno de sus antepasados, el perro de agua irlandés. Esta raza se encuentra últimamente en peligro de extinción. Estos perros cariñosos, dóciles y pacientes con los niños y otros animales, además de ser expertos cazadores, son conocidos por ser mascotas de familia amorosas y juguetonas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,12–14 años,Cariñoso,Dócil,Fuerte,,,,,,,Necesita un entrenamiento moderado,,Necesita cuidados moderados,,Un gran perro guardián
Spaniel Francés,https://cdn.royalcanin-weshare-online.io/AvpuwWoBIYfdNSoC4Rkl/v1/bd195bl-hub-french-spaniel-adult-sitting?w=320&fm=jpg&auto=compress,"Equilibrado, franco, tranquilo y dócil, al Spaniel Francés le gusta la caza, es sociable con otros perros y es el compañero ideal en cualquier circunstancia. Los perros de esta raza de tamaño mediano son elegantes y musculosos, con cuerpos bien proporcionados que exudan la energía y la resistencia adecuadas. De huesos fuertes, pero no pesado. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Francia,Mediano,10–12 años,Seguro,Dócil,Inteligente,Leal,Fuerte,Sociable,,Necesita un dueño con experiencia,,Disfruta del entrenamiento,,,Necesita mucho ejercicio,
Spitz Alemán,https://cdn.royalcanin-weshare-online.io/PyI8x2oBaxEApS7LgxzL/v1/bd120bl-hub-german-spitz-adult-standing?w=320&fm=jpg&auto=compress,"El Spitz Alemán es el ancestro de la mayoría de las razas tipo spitz reconocidas hoy en día. Su hermoso pelaje con abundante capa inferior es uno de sus principales atractivos, especialmente el cuello, que adopta forma de melena, y su espesa cola. Las cinco variedades de Spitz Alemán se conocen independientemente como Toy Spitz, Miniature Spitz, Medium Spitz, Giant Spitz y Wolfspitz. En los países de habla no germana, a los Wolfspitz se los conoce como Keeshond y a los Toy Spitz, como Pomerania. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Alemania,Mediano,13–16 años,Cariñoso,Alegre,Leal,Alerta,Seguro,Fuerte,,,,La educación deberá comenzar pronto,,Necesita cuidados moderados,Necesita mucho ejercicio,
Spitz De Norrbotten,https://cdn.royalcanin-weshare-online.io/qmnasmoBG95Xk-RBkvYv/v1/bd251bl-hub-norrbottenspitz-adult-standing?w=320&fm=jpg&auto=compress,"Como perro de caza, el Spitz de Norrbotten debe ser muy atento y valiente, por lo que da la impresión de ser un animal alerta y activo, a la vez que amistoso y seguro de sí mismo. Sería extraño que un Spitz de Norrbotten se mostrase nervioso o tímido. Cuando los precios de la piel bajaron drásticamente después de la Segunda Guerra Mundial, también lo hizo el interés por los Spitz de Norrbotten. La raza se desvaneció y no hubo registros de ella durante muchos años; por esta razón, el Swedish Kennel Club (SKK) lo declaró extinto. Pero solo una década más tarde, llegaron noticias de que se habían encontrado algunos especímenes que respondían a las características de la raza y que vivían como mascotas y perros guardianes en granjas pequeñas en el interior del norte de Botnia. Gracias a la dedicación de unas cuantas personas, se logró salvar a esta antigua raza de Spitz de caza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Suecia,Mediano,12–16 años,Cariñoso,Alerta,Afable,Fuerte,Independiente,Inteligente,Requiere espacio exterior,,Un gran perro para una familia,Disfruta del entrenamiento,,,,
Spitz Finlandés,https://cdn.royalcanin-weshare-online.io/_fptwWoBIYfdNSoC2BjN/v1/bd192bl-hub-finnish-spitz-adult-standing?w=320&fm=jpg&auto=compress,"Los Spitzs Finlandeses cazan, principalmente, aves forestales, aves acuáticas y pequeñas alimañas, así como alces. Estos cazadores apasionados son bastante independientes, aunque trabajan en equipo, ladrando para indicar la presencia de la presa. Alegres, vigorosos, valientes y obstinados, pueden ser algo distantes con los extraños, pero nunca son agresivos. Son famosos por ser cariñosos con su familia humana, les encanta divertirse con ellos y siempre están listos para jugar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Finlandia,Mediano,12–14 años,Entusiasta,Independiente,Alegre,Seguro,Obstinado,Tímido,,,Un gran perro para una familia,Necesita poco entrenamiento,,,Necesita mucho ejercicio físico y mental,
Springer Spaniel Galés,https://cdn.royalcanin-weshare-online.io/emnEsmoBG95Xk-RBrPYj/v1/bd322bl-hub-welsh-springer-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Los springer spaniels galeses están mucho menos extendidos que sus primos ingleses, pero muchos expertos consideran que esta raza es la mezcla perfecta entre un perro de caza y un perro de exhibición. Se mueven con rapidez y decisión para atrapar faisanes y liebres en el agua, en tierra y entre la maleza y arbustos. Esta raza cumple todas las características para convertirse en una adorable mascota familiar: Leales y siempre en alerta, con una esperanza de vida superior a la media, una excelente salud y un pelaje que requiere pocos cuidados. Los springer spaniels galeses son excelentes compañeros tanto para niños como para adultos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–15 años,Trabajador,Fuerte,Alegre,Afable,Seguro,,Requiere espacio exterior,,,Disfruta del entrenamiento,,,Necesita mucho ejercicio,
Springer Spaniel Inglés,https://cdn.royalcanin-weshare-online.io/KSLLHWsBaxEApS7Lex35/v1/bd60bl-hub-english-springer-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Los springer spaniels ingleses se utilizaron originalmente para buscar y levantar presas para red, halcón o sabuesos, pero en la actualidad se emplean para buscar, vaciar y recuperar.  Son perros cariñosos que se llevan bien con los niños y otros animales en el hogar y se adaptan fácilmente a cualquier entorno. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–14 años,Afable,Seguro,Equilibrado,Alegre,,,,,,Necesita poco entrenamiento,Un gran perro deportivo,Necesita cuidados moderados,,
Staffordshire Bull Terrier,https://cdn.royalcanin-weshare-online.io/LyIxx2oBaxEApS7LjBye/v1/bd108bl-hub-staffordshire-bull-terrier-adult-standing?w=320&fm=jpg&auto=compress,"La raza recibe su nombre del Black Country, en Inglaterra, incluidas las zonas de Birmingham y Staffordshire. De cuerpo fuerte y musculoso y ojos inteligentes, la raza se ganó una reputación temprana como intimidante perro de peleas.  Sin embargo, cualquiera que conozca los Staffordshire Bull Terrier sabe que estos perros son animales sensibles y juguetones, muy apegados a sus familias. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–14 años,Alegre,Ágil,Inteligente,Cariñoso,Seguro,Leal,,,,Necesita poco entrenamiento,,Requiere muchos cuidados,,Un gran perro guardián
Sussex Spaniel,https://cdn.royalcanin-weshare-online.io/hWnHsmoBG95Xk-RB_vam/v1/bd312bl-hub-sussex-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Los Sussex spaniels tienen una capacidad de trabajo innata, persiguiendo animales en entornos con densa vegetación. Además de mostrar un buen carácter con las personas y otros perros, su disposición tranquila y afable los convierte en excelentes perros de familia para propietarios activos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,10–14 años,Alegre,Trabajador,Cariñoso,,,,,,,Disfruta del entrenamiento,,Necesita cuidados moderados,Necesita mucho ejercicio,
Terrier Glen De Imaal Irlandés,https://cdn.royalcanin-weshare-online.io/jGnLsmoBG95Xk-RB7vZk/v1/bd201bl-hub-irish-glen-of-imaal-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Al igual que los demás terriers, estos pequeños y tenaces perros fueron criados para cazar tejones y zorros, y para mantener controlada la población de ratas. Con el tiempo, se han convertido en perros dóciles de familia, aunque la raza sigue siendo una de las menos comunes y conocidas. Si bien ocupan un lugar en la lista de razas nativas vulnerables del The Kennel Club, estos terriers pequeños y resistentes están resurgiendo lentamente, en gran parte gracias a su encanto natural y aptitud para la vida familiar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Irlanda,Mediano,10–15 años,Tranquilo,Dócil,Alegre,Ágil,Juguetón,Entusiasta,,,Un gran perro para una familia,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Terrier Irlandés,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0089_irish_terrier.webp?itok=eC8dmGDZ,"Su resistencia y su potencia son cualidades esenciales. El terrier irlandés es un perro bastante elegante y estilizado, lo cual sugiere ligereza de movimientos. Son trabajadores tenaces que pueden hacer casi cualquier cosa que se les pida: destacan como perros de granja, animales de compañía, perros guardianes y perros de caza. La reputación del terrier irlandés como animal problemático es inmerecida. Si bien estos perros pueden ser feroces cuando es necesario, son fáciles de adiestrar y dóciles compañeros, lo cual justifica su descripción inicial como ""el centinela de un pobre, el amigo del granjero y el favorito de los caballeros"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Irlanda,Mediano,12–16 años,Inteligente,Seguro,Alegre,Juguetón,Leal,Equilibrado,,,,Necesita poco entrenamiento,,Requiere muchos cuidados,Necesita mucho ejercicio,
Terrier Irlandés De Pelo Suave,https://rockidentifier.com/wiki-image/1080/A101A41918BC4B79B4C78BC8B4776BA3.jpeg,"Enérgicos y juguetones, de buen carácter, muy cariñosos, leales e increíblemente inteligentes, los terriers irlandeses de pelo suave son grandes amigos y maravillosos protectores, pero sin ser en absoluto agresivos. Estos perros pertenecen, probablemente, a la más antigua de las cuatro razas de terrier irlandés. Con ellos, podemos remontarnos al menos dos siglos, basándonos en documentos que mencionan perros ""de pelo suave"". La raza ha ido ganando popularidad poco a poco desde entonces, y ahora se ha extendido por todo el mundo, aunque la población general es bastante baja. Estos perros robustos, activos y de baja estatura tienen buena constitución en la medida en que dan la impresión de tener fuerza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),True, Irlanda,Mediano,12–14 años,Equilibrado,Cariñoso,Leal,Inteligente,Protector,,,,Un gran perro para una familia,Necesita poco entrenamiento,,Requiere muchos cuidados,,
